lv,hp,attack,defense,EXP
1,0,0,0,0
2,8,9,2,3
3,15,14,4,10
4,21,18,6,30
5,26,21,8,50
6,30,24,10,100
7,33,27,12,150
8,36,30,14,200
9,39,33,16,300
10,42,36,18,500
11,45,38,20,800
12,48,40,22,1000
13,51,42,23,1200
14,54,44,24,1500
15,57,46,25,1800
16,59,47,26,2000
17,61,48,27,2500
18,63,49,28,3000
19,65,50,29,4000
20,67,51,30,5000
21,68,52,31,6500
22,69,53,32,8000
23,70,54,33,10000
24,71,55,34,13000
25,72,56,35,16000
26,73,57,36,20000
27,74,58,37,25000
28,75,59,38,30000
29,76,60,39,36000
30,77,61,40,42000
31,78,62,40,48000
32,79,63,40,54000
33,80,64,40,60000
34,81,65,40,70000
35,82,66,40,80000
36,83,67,40,90000
37,84,68,40,100000
38,85,69,40,115000
39,86,70,40,130000
40,87,71,40,145000
41,88,71,40,160000
42,89,71,40,175000
43,90,72,40,200000
44,91,72,40,230000
45,92,73,40,260000
46,93,73,40,290000
47,94,74,40,320000
48,95,74,40,350000
49,96,75,40,380000
50,97,76,40,410000
51,98,76,40,440000
52,99,76,40,470000
53,100,76,40,500000
54,101,76,40,530000
55,102,76,40,560000
56,103,76,40,590000
57,104,76,40,620000
58,105,76,40,650000
59,106,76,40,680000
60,107,76,40,710000
61,108,76,40,750000
62,109,76,40,790000
63,110,76,40,830000
64,111,76,40,870000
65,112,76,40,910000
66,113,76,40,950000
67,114,76,40,990000
68,115,76,40,1030000
69,116,76,40,1070000
70,117,76,40,1120000
71,118,76,40,1170000
72,119,76,40,1220000
73,120,76,40,1270000
74,121,76,40,1320000
75,122,76,40,1370000
76,123,76,40,1420000
77,124,76,40,1470000
78,125,76,40,1520000
79,126,76,40,1570000
80,127,76,40,1620000
81,128,76,40,1670000
82,129,76,40,1720000
83,130,76,40,1770000
84,131,76,40,1820000
85,132,76,40,1880000
86,133,76,40,1940000
87,134,76,40,2000000
88,135,76,40,2060000
89,136,76,40,2120000
90,137,76,40,2180000
91,138,76,40,2240000
92,139,76,40,2300000
93,140,76,40,2360000
94,141,76,40,2420000
95,142,76,40,3000000
96,143,76,40,5000000
97,144,76,40,7000000
98,145,76,40,9000000
99,146,76,40,9990000
